cluster,lifetime_spend_groceries,lifetime_spend_vegetables,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_hygiene,lifetime_spend_petfood,lifetime_spend_technology
0,28652.19,334.29,713.67,709.23,1012.62,995.69,1280.61,365.81,3407.93
1,10683.12,2006.37,418.13,413.1,74.48,88.83,713.92,260.76,2237.15
2,17702.21,521.5,338.73,359.96,794.39,678.7,754.09,394.08,1457.91
3,12522.39,403.32,239.6,411.65,715.35,415.19,477.22,302.98,1207.25
4,12224.1,1508.63,610.23,167.16,162.0,117.27,2015.23,411.55,962.2
5,25020.86,804.75,806.94,1473.09,1475.91,1319.89,920.37,355.09,5317.39
6,12606.24,354.69,259.46,579.43,613.39,434.43,458.26,273.19,1361.48
7,9265.79,171.06,562.87,1108.69,916.37,857.58,245.79,300.37,11784.57
OVERALL,15925.51,729.54,457.41,607.75,711.43,595.22,818.06,333.85,3015.0
