kmeans_cluster,cluster_size,cluster_percentage,number_complaints,distinct_stores_visited,customer_age,tenure,total_children,is_male,customer_loyalty_flag,total_spend,pct_spend_groceries,pct_spend_vegetables,pct_spend_nonalcohol_drinks,pct_spend_alcohol_drinks,pct_spend_meat,pct_spend_fish,pct_spend_hygiene,pct_spend_petfood,pct_spend_technology,latitude,longitude,education_level
0,6341,19.79,-0.31,0.26,0.09,-0.05,-0.19,0.51,0.62,-0.47,-0.9,1.96,1.27,0.18,-0.01,-0.04,1.87,1.09,0.3,0.2,0.39,1.34
1,3602,11.24,0.04,-0.67,0.03,-0.32,-1.4,0.47,0.47,0.11,-1.69,-0.24,0.47,1.04,0.42,0.66,-0.42,0.0,3.08,-0.01,-0.41,0.11
2,2966,9.26,-0.01,0.1,0.09,0.36,4.34,0.51,0.68,1.19,-0.26,0.02,0.24,0.64,0.34,0.47,-0.12,-0.31,0.54,-0.01,-0.01,1.15
3,19138,59.72,-0.04,0.17,-0.03,0.04,-0.34,0.5,0.61,0.32,0.24,0.13,-0.17,0.01,0.1,0.06,0.02,0.06,-0.11,0.02,0.06,0.91
