,customer_id,Cluster
3367,4541,Extended Household
15352,17556,Extended Household
15383,39565,Extended Household
3365,22046,Extended Household
15362,36661,Extended Household
15366,23540,Extended Household
15369,21324,Extended Household
3360,25939,Extended Household
15380,32508,Extended Household
3358,13551,Extended Household
15382,7948,Extended Household
3364,11372,Extended Household
15476,14182,Extended Household
15480,20633,Extended Household
15481,31546,Extended Household
15546,28610,Extended Household
15556,12538,Extended Household
15557,2552,Extended Household
15566,12788,Extended Household
15573,35205,Extended Household
15586,36958,Extended Household
15588,39602,Extended Household
15545,1266,Extended Household
15596,21874,Extended Household
15608,13788,Extended Household
15610,6866,Extended Household
15613,4776,Extended Household
3299,7769,Extended Household
15616,38073,Extended Household
15623,14945,Extended Household
15631,8865,Extended Household
15601,39006,Extended Household
15540,11970,Extended Household
3314,14913,Extended Household
3315,15336,Extended Household
15485,2241,Extended Household
15501,12287,Extended Household
15512,30529,Extended Household
3329,3386,Extended Household
15513,14352,Extended Household
15515,6790,Extended Household
3326,14657,Extended Household
3325,14062,Extended Household
15516,38539,Extended Household
15517,20515,Extended Household
3322,21643,Extended Household
15519,24675,Extended Household
3320,15299,Extended Household
15520,3442,Extended Household
15523,27268,Extended Household
15525,22592,Extended Household
15533,31670,Extended Household
14507,23927,Extended Household
16181,19936,Extended Household
14495,1117,Extended Household
14480,35673,Extended Household
13167,21559,Extended Household
3752,31067,Extended Household
13169,35220,Extended Household
13171,2828,Extended Household
13180,28770,Extended Household
13204,18541,Extended Household
3747,30757,Extended Household
13164,33081,Extended Household
13206,845,Extended Household
13217,10475,Extended Household
13223,12359,Extended Household
13230,15421,Extended Household
13264,8634,Extended Household
13284,16849,Extended Household
13287,17081,Extended Household
13296,15389,Extended Household
13215,24488,Extended Household
13297,36032,Extended Household
13162,36778,Extended Household
13160,22143,Extended Household
3773,21203,Extended Household
13069,15755,Extended Household
13076,34062,Extended Household
13083,35036,Extended Household
13102,36429,Extended Household
3768,23664,Extended Household
13104,7561,Extended Household
3756,763,Extended Household
13106,9401,Extended Household
13113,29462,Extended Household
13118,1189,Extended Household
13119,9893,Extended Household
13152,8715,Extended Household
13153,22475,Extended Household
13155,37427,Extended Household
13159,21799,Extended Household
13107,3926,Extended Household
3774,15712,Extended Household
13302,4540,Extended Household
13314,21839,Extended Household
3713,7389,Extended Household
13432,6163,Extended Household
13434,6177,Extended Household
13438,6449,Extended Household
3709,35111,Extended Household
3708,14471,Extended Household
13442,30137,Extended Household
13426,17951,Extended Household
3706,19368,Extended Household
13445,7187,Extended Household
13453,6200,Extended Household
13457,368,Extended Household
3701,8714,Extended Household
13459,21098,Extended Household
13468,37611,Extended Household
13474,7433,Extended Household
